Date,Close
7/20/2018,132.9
7/23/2018,132.63
7/24/2018,131.98
7/25/2018,133.35
7/26/2018,127.06
7/27/2018,123.89
7/30/2018,125.9
7/31/2018,125.6
8/1/2018,124.79
8/2/2018,123.99
8/3/2018,126.21
8/6/2018,126.75
8/7/2018,126.75
8/8/2018,124.06
8/9/2018,123.88
8/10/2018,123.14
8/13/2018,126.03
8/14/2018,126.68
8/15/2018,126.42
8/16/2018,127.09
8/17/2018,129.38
8/20/2018,130.65
8/21/2018,130.39
8/22/2018,129.72
8/23/2018,129.36
8/24/2018,129.67
8/27/2018,130.32
8/28/2018,130
8/29/2018,130
8/30/2018,129.98
8/31/2018,128.75
9/4/2018,123.9
9/5/2018,123.43
9/6/2018,125.5
9/7/2018,129.74
9/10/2018,130.36
9/11/2018,130.08
9/12/2018,130.29
9/13/2018,129.61
9/14/2018,128.56
9/17/2018,131.78
9/18/2018,133.08
9/19/2018,134.27
9/20/2018,135.85
9/21/2018,134.95
9/24/2018,132.64
9/25/2018,131.72
9/26/2018,131.96
9/27/2018,131.69
9/28/2018,132.65
10/1/2018,132.32
10/2/2018,132.53
10/3/2018,130.5
10/4/2018,132.26
10/5/2018,134.08
10/8/2018,136.05
10/9/2018,136.84
10/10/2018,135.5
10/11/2018,129.24
10/12/2018,130.79
10/15/2018,131.37
10/16/2018,133.44
10/17/2018,135.04
10/18/2018,132.7
10/19/2018,132.39
10/22/2018,126.73
10/23/2018,127.29
10/24/2018,121.58
10/25/2018,121.99
10/26/2018,118.39
10/29/2018,120.77
10/30/2018,124.12
10/31/2018,124.76
11/1/2018,129.09
11/2/2018,125.41
11/5/2018,127.12
11/6/2018,128.6
11/7/2018,132.72
11/8/2018,132.57
11/9/2018,130.81
11/12/2018,130.47
11/13/2018,130.15
11/14/2018,128.89
11/15/2018,127.47
11/16/2018,123.89
11/19/2018,126.19
11/20/2018,122.55
11/21/2018,121.81
11/23/2018,121.16
11/26/2018,120.64
11/27/2018,125.69
11/28/2018,127.16
11/29/2018,127.01
11/30/2018,124.5
12/3/2018,127.16
12/4/2018,125.05
12/6/2018,126.4
12/7/2018,124.94
12/10/2018,123.1
12/11/2018,122.15
12/12/2018,123.33
12/13/2018,122.86
12/14/2018,116.66
12/17/2018,111.9
12/18/2018,109.19
12/19/2018,110.63
12/20/2018,109.86
12/21/2018,108.34
12/24/2018,108.23
12/26/2018,110.78
12/27/2018,111.06
12/28/2018,110.04
12/31/2018,110.47
1/2/2019,113.07
1/3/2019,112.94
1/4/2019,114.33
1/7/2019,115.36
1/8/2019,117.71
1/9/2019,118.26
1/10/2019,122.04
1/11/2019,122.16
1/14/2019,121.69
1/15/2019,123.05
1/16/2019,123.6
1/17/2019,124.39
1/18/2019,126.67
1/22/2019,125.87
1/23/2019,126.12
1/24/2019,125.47
1/25/2019,127.05
1/28/2019,125.77
1/29/2019,125.29
1/30/2019,124.97
1/31/2019,128.25
2/1/2019,127.33
2/4/2019,132.26
2/5/2019,131.77
2/6/2019,132.62
2/7/2019,130.6
2/8/2019,128.49
2/11/2019,130.43
2/12/2019,134
2/13/2019,134.17
2/14/2019,134.39
2/15/2019,135.56
2/19/2019,136.3
2/20/2019,134.04
2/21/2019,131.95
2/22/2019,131.49
2/25/2019,130.18
2/26/2019,127.15
2/27/2019,127.42
2/28/2019,127.16
3/1/2019,124.53
3/4/2019,120.1
3/5/2019,117.16
3/6/2019,113.51
3/7/2019,112.28
3/8/2019,111.86
3/11/2019,113.48
3/12/2019,115.61
3/13/2019,117.47
3/14/2019,117.72
3/15/2019,119.26
3/18/2019,121.37
3/19/2019,122.52
3/20/2019,120.65
3/21/2019,122.23
3/22/2019,118.54
3/25/2019,115.65
3/26/2019,115.85
3/27/2019,115.71
3/28/2019,115.29
3/29/2019,117.06
4/1/2019,118.84
4/2/2019,114.79
4/3/2019,115.08
4/4/2019,115.01
4/5/2019,116.7
4/8/2019,116.82
4/9/2019,115.8
4/10/2019,115.27
4/11/2019,114.19
4/12/2019,116.05
4/15/2019,117.21
4/16/2019,116.61
4/17/2019,112.49
4/18/2019,114.1
4/22/2019,112.47
4/23/2019,115.2
4/24/2019,115.33
4/25/2019,115.21
4/26/2019,117.58
4/29/2019,118.37
